Type of race,State,FIPS Code,State code,PVI,Incumbent/ Incumbent Party Candidate,Incombant Gun Control Stance (Voted For),Incombant Gun Control Stance (Voted Against),Opponant,Opponant Gun Control Stance,Most recent result,Cook,IE,Sabato,NYT,CNN,RCP
House of Representatives,North Carolina 9,3709,37,R+8,TBA,TBA,,,,58.2% R,Lean R,Tilt R,Tossup,NaN,Tossup,Likely R
House of Representatives,North Carolina 13,3713,37,R+6,Ted Budd (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017",,,56.1% R,Lean R,Likely R,Lean R,NaN,Lean R,Likely R
House of Representatives,Ohio 1,3901,39,R+5,Steve Chabot (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017
CONCEALED-CARRY RECIPROCITY
2011
PLCAA
2005
GUN SHOW LOOPHOLE
1999",,,59.2% R,Lean R,Likely R,Lean R,NaN,Lean R,Lean R
House of Representatives,Ohio 7,3907,39,R+12,Bob Gibbs (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017
CONCEALED-CARRY RECIPROCITY
2011",,,64.0% R,Safe R,Safe R,Likely R,NaN,Likely R,Safe R
House of Representatives,Ohio 10,3910,39,R+4,Mike Turner (R),"CONCEALED-CARRY RECIPROCITY
2011
","CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017
PLCAA
2005",,,64.1% R,Likely R,Safe R,Likely R,NaN,Safe R,Safe R
House of Representatives,Ohio 12,3912,39,R+7,TBA,TBA,,,,66.6% R,Tossup,Tilt R,Lean R,NaN,Lean R,Lean R
House of Representatives,Ohio 14,3914,39,R+5,David Joyce (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017",,,62.6% R,Likely R,Likely R,Likely R,NaN,Likely R,Safe R
House of Representatives,Ohio 15,3915,39,R+7,Steve Stivers (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017
CONCEALED-CARRY RECIPROCITY
2011",,,66.2% R,Likely R,Safe R,Likely R,NaN,Safe R,Safe R
House of Representatives,Oklahoma 5,4005,40,R+10,Steve Russell (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017",,,57.1% R,Safe R,Safe R,Likely R,NaN,Safe R,Safe R
House of Representatives,Pennsylvania 1,4201,42,R+1,Brian Fitzpatrick (R),"CONCEALED-CARRY RECIPROCITY
2017","MENTAL HEALTH
2017",,,(New district),Tossup,Tilt R,Tossup,NaN,Tossup,Tossup
House of Representatives,Pennsylvania 5,4205,42,D+13,TBA,TBA,,,,(New district),Likely D (flip),Likely D (flip),Safe D (flip),NaN,Likely D (flip),Likely D (flip)
House of Representatives,Pennsylvania 6,4206,42,D+2,Ryan Costello (R) (Retiring),Not Running,,,,(New district),Likely D (flip),Likely D (flip),Likely D (flip),NaN,Likely D (flip),Likely D (flip)
House of Representatives,Pennsylvania 7,4207,42,D+1,TBA,TBA,,,,(New district),Lean D (flip),Tilt D (flip),Tossup,NaN,Lean D (flip),Tossup
House of Representatives,Pennsylvania 8,4208,42,R+1,Matt Cartwright (D),"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017",,,,(New district),Likely D,Likely D,Likely D,NaN,Likely D,Likely D
House of Representatives,Pennsylvania 10,4210,42,R+6,Scott Perry (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017",,,(New district),Likely R,Likely R,Likely R,NaN,Likely R,Lean R
House of Representatives,Pennsylvania 14,4214,42,R+14,Open seat[c],Not Running,,,,(New district),Likely R (flip),Safe R (flip),Safe R (flip),NaN,Safe R (flip),Likely R (flip)
House of Representatives,Pennsylvania 16,4216,42,R+8,Mike Kelly (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017",,,(New district),Likely R,Safe R,Safe R,NaN,Safe R,Likely R
House of Representatives,Pennsylvania 17,4217,42,R+3,Keith Rothfus (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017",,,,,,,,,
House of Representatives,Pennsylvania 17,4217,42,R+3,Conor Lamb (D), ,,,,,,,,,,
House of Representatives,South Carolina 1,4501,45,R+10,Mark Sanford (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017",,,58.6% R,Likely R,Safe R,Safe R,NaN,Safe R,Safe R
House of Representatives,Texas 7,4807,48,R+7,John Culberson (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017
CONCEALED-CARRY RECIPROCITY
2011
PLCAA
2005",Lizzie Pannill Fletcher OR Laura Moser (D),,56.2% R,Tossup,Tilt R,Lean R,NaN,Lean R,Tossup
House of Representatives,Texas 21,4821,48,R+10,Chip Roy OR Matt McCall (R),Not Running,,Mary Wilson OR Joseph Kopser (D),,57.0% R,Likely R,Likely R,Likely R,NaN,Likely R,Likely R
House of Representatives,Texas 23,4823,48,R+1,Will Hurd (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017",Gina Ortez Jones OR Rick Trevino (D),,48.3% R,Lean R,Tossup,Tossup,NaN,Tossup,Tossup
House of Representatives,Texas 32,4832,48,R+5,Pete Sessions (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017
CONCEALED-CARRY RECIPROCITY
2011
PLCAA
2005
GUN SHOW LOOPHOLE
1999",Colin Allred OR Lillian Salerno (D),,71.1% R,Lean R,Likely R,Lean R,NaN,Lean R,Tossup
House of Representatives,Utah 4,4904,49,R+13,Mia Love (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017",,,53.8% R,Lean R,Lean R,Lean R,NaN,Lean R,Tossup
House of Representatives,Virginia 2,5102,51,R+3,Scott Taylor (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017",,,61.3% R,Lean R,Likely R,Lean R,NaN,Lean R,Lean R
House of Representatives,Virginia 5,5105,51,R+6,TBA,TBA,,,,58.2% R,Lean R,Likely R,Lean R,NaN,Likely R,Safe R
House of Representatives,Virginia 7,5107,51,R+6,Dave Brat (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017""",,,57.5% R,Lean R,Lean R,Lean R,NaN,Lean R,Lean R
House of Representatives,Virginia 10,5110,51,D+1,Barbara Comstock (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017""",,,52.7% R,Tossup,Tossup,Tossup,NaN,Tossup,Tossup
House of Representatives,Washington 3,5303,53,R+4,Jaime Herrera Beutler (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017
CONCEALED-CARRY RECIPROCITY
2011",,,61.8% R,Likely R,Safe R,Safe R,NaN,Safe R,Safe R
House of Representatives,Washington 5,5305,53,R+8,Cathy McMorris Rodgers (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017
CONCEALED-CARRY RECIPROCITY
2011
PLCAA
2005",,,59.6% R,Lean R,Likely R,Lean R,NaN,Lean R,Likely R
House of Representatives,Washington 8,5308,53,EVEN,TBA,TBA,,,,60.2% R,Tossup,Tossup,Tossup,NaN,Tossup,Tossup
House of Representatives,West Virginia 3,5403,54,R+23,TBA,TBA,,,,67.9% R,Likely R,Likely R,Likely R,NaN,Likely R,Likely R
House of Representatives,Wisconsin 1,5501,55,R+5,TBA,TBA,,,,64.9% R,Lean R,Lean R,Tossup,NaN,Lean R,Tossup
House of Representatives,Wisconsin 3,5503,55,EVEN,Ron Kind (D),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017
CONCEALED-CARRY RECIPROCITY
2011
PLCAA
2005
GUN SHOW LOOPHOLE
1999",,,98.9% D,Safe D,Safe D,Safe D,NaN,Likely D,Likely D
House of Representatives,Wisconsin 6,5506,55,R+8,Glenn Grothman (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017",,,57.2% R,Likely R,Safe R,Likely R,NaN,Lean R,Safe R
House of Representatives,Wisconsin 7,5507,55,R+8,Sean Duffy (R),,"CONCEALED-CARRY RECIPROCITY
2017
MENTAL HEALTH
2017
CONCEALED-CARRY RECIPROCITY
2011",,,61.7% R,Safe R,Safe R,Safe R,NaN,Likely R,Safe R
