STATE,D,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES ,GE WINNER INDICATOR
Washington,S,,"Coday, Art",,R,79727,,
Washington,S,,"Wilson, Timmy (Doc)",,D,31817,,
Washington,S,,"Jackson, Chuck",,R,25983,,
Washington,S,,"Stockwell, Glen (Stocky) R.",,R,25793,,
Washington,S,,"Mover, Mike the",,R,19535,,
Washington,S,,"Baker, Will",,REF,15005,,
Washington,S,,,Total State Votes:,,1387059,3069417,
West Virginia,S,(I),"Manchin, Joe, III",,D,163891,399898,W
West Virginia,S,,"Fletcher, Sheirl",,D,41118,,
West Virginia,S,,,Party Votes:,D,205009,,
West Virginia,S,,"Raese, John R.",,R,88510,240787,
West Virginia,S,,,Party Votes:,R,88510,,
West Virginia,S,,"Baber, Bob Henry",,MTP,,19517,
West Virginia,S,,,Total State Votes:,,293519,660202,
Wisconsin,S,,"Baldwin, Tammy",,D,185265,1547104,W
Wisconsin,S,,Scattered,,W(D),424,,
Wisconsin,S,,,Party Votes:,D,185689,,
Wisconsin,S,,"Thompson, Tommy G.",,R,197928,1380126,
Wisconsin,S,,"Hovde, Eric",,R,179557,,
Wisconsin,S,,"Neumann, Mark W.",,R,132786,,
Wisconsin,S,,"Fitzgerald, Jeff",,R,71871,,
Wisconsin,S,,Scattered,,W(R),244,,
Wisconsin,S,,,Party Votes:,R,582386,,
Wisconsin,S,,"Kexel, Joseph",,LIB,,62240,
Wisconsin,S,,"Nimrod, Allen Y.U., III",,IDA,,16455,
Wisconsin,S,,Scattered,,W,,3373,
Wisconsin,S,,"Hood, Riley J",,W,,70,
Wisconsin,S,,"Lorbiecki, Diane",,W,,43,
Wisconsin,S,,Scattered,,W(AE),118,,
Wisconsin,S,,,Party Votes:,AE,118,,
Wisconsin,S,,Scattered,,W(CON),109,,
Wisconsin,S,,,Party Votes:,CON,109,,
Wisconsin,S,,,Total State Votes:,,768302,3009411,
Wyoming,S,(I),"Barrasso, John",,R,73516,185250,W
Wyoming,S,,"Bleming, Thomas",,R,5080,,
Wyoming,S,,"Mavy, Emmett A.",,R,2873,,
Wyoming,S,,Scattered,,W(R),279,,
Wyoming,S,,,Party Votes:,R,81748,,
Wyoming,S,,"Chesnut, Tim",,D,9173,53019,
Wyoming,S,,"Hamburg, Al",,D,4630,,
Wyoming,S,,"Bryk, William",,D,3047,,
Wyoming,S,,Scattered,,W(D),222,,
Wyoming,S,,,Party Votes:,D,17072,,
Wyoming,S,,"Otto, Joel",,COU,,6176,
Wyoming,S,,Scattered,,W,,417,
Wyoming,S,,,Total State Votes:,,98820,244862,
